"Nombre de la cuenta";"Sector";"Tipo";"Propietario de la cuenta";"Fecha de la última modificación"
"ENERGYPAL";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"E&T SOLUTIONS";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"INGENIERÍA INTEGRADA SUMMA";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"DATALINK SMART SOLUTION";"INGENIERIA";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"SERVICONTROL";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"PROCEMEC";"INGENIERIA";"Customer";"JHOAN ORTIZ";"8/04/2024"
"KiloJoules";"INGENIERIA";"Integrator";"LIZETH MARTINEZ";"11/04/2024"
"TELERED SG";"INGENIERIA";"Customer";"Juan Garzón Linares";"12/08/2025"
"KONCET S.A.S";"INGENIERIA";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"TECNICEL CONTROL SAS";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"AIC INTERNACIONAL";"INGENIERIA";"Customer";"Juan Garzón Linares";"12/08/2025"
"EGESTEC S.A.S.";"INGENIERIA";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"JUAN GUARNIZO";"INGENIERIA";"Investor";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"C&S INGENIERIA LTDA";"INGENIERIA";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"AL INGENIEROS S.A.";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"AWM AUTOMATIZACION Y CONTROL S.A.S";"INGENIERIA";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ALFONSO ESPINOSA";"INGENIERIA";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"Tecnicentro TYG";"INGENIERIA";"Customer";"JHOAN ORTIZ";"16/04/2024"
